"","m","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection"
"329","red",1,TRUE,7.36e-08,797,385,63,0.164,0.079,"GO:0003700","MF",11,"transcription factor activity, sequence-specific DNA binding",1,"ENSG00000020633,ENSG00000028277,ENSG00000049768,ENSG00000063515,ENSG00000069011,ENSG00000078900,ENSG00000090447,ENSG00000092067,ENSG00000100968,ENSG00000100987,ENSG00000101076,ENSG00000101412,ENSG00000103326,ENSG00000104976,ENSG00000105392,ENSG00000105997,ENSG00000106006,ENSG00000106038,ENSG00000107859,ENSG00000111087,ENSG00000111424,ENSG00000115297,ENSG00000116017,ENSG00000116035,ENSG00000118707,ENSG00000120075,ENSG00000120093,ENSG00000121075,ENSG00000122180,ENSG00000122592,ENSG00000124232,ENSG00000125878,ENSG00000126778,ENSG00000128714,ENSG00000130675,ENSG00000131668,ENSG00000131759,ENSG00000136352,ENSG00000136931,ENSG00000138136,ENSG00000139515,ENSG00000156127,ENSG00000159216,ENSG00000163623,ENSG00000164107,ENSG00000165462,ENSG00000165556,ENSG00000168505,ENSG00000168875,ENSG00000170122,ENSG00000171956,ENSG00000175832,ENSG00000176692,ENSG00000178919,ENSG00000179348,ENSG00000181965,ENSG00000184058,ENSG00000184302,ENSG00000185668,ENSG00000185730,ENSG00000196092,ENSG00000253293,ENSG00000273154"
"229","red",1,TRUE,1.43e-06,298,385,32,0.083,0.107,"GO:0007389","BP",16,"pattern specification process",1,"ENSG00000075290,ENSG00000090776,ENSG00000105997,ENSG00000106006,ENSG00000106038,ENSG00000107831,ENSG00000111087,ENSG00000112559,ENSG00000115596,ENSG00000116035,ENSG00000120075,ENSG00000120093,ENSG00000122592,ENSG00000125878,ENSG00000126778,ENSG00000128714,ENSG00000131668,ENSG00000138136,ENSG00000156150,ENSG00000163623,ENSG00000164107,ENSG00000165556,ENSG00000168505,ENSG00000169071,ENSG00000170689,ENSG00000171956,ENSG00000173991,ENSG00000176692,ENSG00000181965,ENSG00000184058,ENSG00000188064,ENSG00000253293"
"3113","red",1,TRUE,5.03e-06,415,385,38,0.099,0.092,"GO:0000977","MF",5,"RNA polymerase II regulatory region sequence-specific DNA binding",1,"ENSG00000020633,ENSG00000028277,ENSG00000064489,ENSG00000069011,ENSG00000078900,ENSG00000090447,ENSG00000092067,ENSG00000100968,ENSG00000101076,ENSG00000105392,ENSG00000107859,ENSG00000111087,ENSG00000116017,ENSG00000116035,ENSG00000120075,ENSG00000120093,ENSG00000122180,ENSG00000122592,ENSG00000124232,ENSG00000126778,ENSG00000128714,ENSG00000131668,ENSG00000131759,ENSG00000136352,ENSG00000136931,ENSG00000139515,ENSG00000156127,ENSG00000159216,ENSG00000163623,ENSG00000164107,ENSG00000165462,ENSG00000165556,ENSG00000168505,ENSG00000175832,ENSG00000179348,ENSG00000185499,ENSG00000196092,ENSG00000253293"
"924","red",1,TRUE,1.08e-05,445,385,39,0.101,0.088,"GO:0048598","BP",26,"embryonic morphogenesis",1,"ENSG00000069011,ENSG00000075290,ENSG00000101076,ENSG00000105997,ENSG00000106006,ENSG00000107831,ENSG00000111087,ENSG00000112559,ENSG00000114270,ENSG00000115297,ENSG00000115596,ENSG00000116035,ENSG00000118707,ENSG00000120075,ENSG00000120093,ENSG00000121075,ENSG00000122592,ENSG00000126778,ENSG00000128714,ENSG00000131759,ENSG00000138136,ENSG00000139219,ENSG00000139515,ENSG00000149418,ENSG00000156150,ENSG00000164107,ENSG00000164920,ENSG00000168505,ENSG00000169071,ENSG00000173991,ENSG00000176692,ENSG00000178919,ENSG00000179348,ENSG00000181965,ENSG00000184058,ENSG00000188064,ENSG00000196092,ENSG00000204610,ENSG00000253293"
"297","red",1,TRUE,1.44e-05,133,385,19,0.049,0.143,"GO:0004252","MF",31,"serine-type endopeptidase activity",1,"ENSG00000005001,ENSG00000057593,ENSG00000088926,ENSG00000095917,ENSG00000099953,ENSG00000100263,ENSG00000115718,ENSG00000126218,ENSG00000126460,ENSG00000129455,ENSG00000149418,ENSG00000160339,ENSG00000167748,ENSG00000174562,ENSG00000196415,ENSG00000197540,ENSG00000197561,ENSG00000206549,ENSG00000215704"
"1020","red",1,TRUE,3.21e-05,182,385,22,0.057,0.121,"GO:0045165","BP",9,"cell fate commitment",1,"ENSG00000049768,ENSG00000069011,ENSG00000075290,ENSG00000096996,ENSG00000106038,ENSG00000107831,ENSG00000110944,ENSG00000115596,ENSG00000122180,ENSG00000126778,ENSG00000130675,ENSG00000131759,ENSG00000138136,ENSG00000156127,ENSG00000163623,ENSG00000169071,ENSG00000176692,ENSG00000179348,ENSG00000181965,ENSG00000184058,ENSG00000188064,ENSG00000204610"
"1414","red",1,TRUE,6.89e-05,71,385,13,0.034,0.183,"GO:0048704","BP",30,"embryonic skeletal system morphogenesis",1,"ENSG00000105997,ENSG00000106006,ENSG00000112559,ENSG00000120075,ENSG00000120093,ENSG00000122592,ENSG00000126778,ENSG00000139219,ENSG00000156150,ENSG00000164920,ENSG00000176692,ENSG00000184058,ENSG00000196092"
"237","red",1,TRUE,8.9e-05,1358,385,81,0.21,0.06,"GO:0009888","BP",33,"tissue development",1,"ENSG00000020633,ENSG00000029559,ENSG00000065618,ENSG00000069011,ENSG00000074276,ENSG00000078900,ENSG00000090776,ENSG00000092295,ENSG00000100373,ENSG00000100968,ENSG00000103067,ENSG00000105664,ENSG00000105997,ENSG00000107831,ENSG00000107859,ENSG00000108759,ENSG00000108823,ENSG00000111087,ENSG00000111424,ENSG00000114270,ENSG00000115297,ENSG00000115596,ENSG00000115718,ENSG00000116035,ENSG00000120075,ENSG00000120093,ENSG00000121075,ENSG00000121853,ENSG00000122180,ENSG00000122592,ENSG00000125878,ENSG00000125879,ENSG00000126778,ENSG00000128714,ENSG00000129455,ENSG00000130529,ENSG00000131668,ENSG00000131759,ENSG00000135480,ENSG00000136352,ENSG00000136378,ENSG00000136931,ENSG00000138136,ENSG00000139219,ENSG00000139515,ENSG00000145192,ENSG00000149418,ENSG00000158813,ENSG00000159173,ENSG00000159216,ENSG00000161270,ENSG00000161905,ENSG00000163623,ENSG00000164107,ENSG00000164920,ENSG00000165556,ENSG00000168505,ENSG00000169071,ENSG00000169194,ENSG00000170498,ENSG00000170523,ENSG00000171956,ENSG00000172016,ENSG00000173991,ENSG00000176692,ENSG00000178372,ENSG00000178919,ENSG00000179526,ENSG00000184058,ENSG00000184292,ENSG00000184343,ENSG00000185499,ENSG00000185668,ENSG00000186442,ENSG00000186895,ENSG00000188064,ENSG00000196092,ENSG00000198400,ENSG00000204610,ENSG00000205426,ENSG00000267534"
"167","red",1,TRUE,0.000119,805,385,55,0.143,0.068,"GO:0045944","BP",27,"positive regulation of transcription from RNA polymerase II promoter",1,"ENSG00000028277,ENSG00000049768,ENSG00000064489,ENSG00000069011,ENSG00000070404,ENSG00000078900,ENSG00000090447,ENSG00000092067,ENSG00000100968,ENSG00000101076,ENSG00000101412,ENSG00000105392,ENSG00000106038,ENSG00000107859,ENSG00000108342,ENSG00000110944,ENSG00000111087,ENSG00000111424,ENSG00000115138,ENSG00000115297,ENSG00000116017,ENSG00000120075,ENSG00000120093,ENSG00000122180,ENSG00000122592,ENSG00000124232,ENSG00000126778,ENSG00000128714,ENSG00000131668,ENSG00000131759,ENSG00000131808,ENSG00000136352,ENSG00000136931,ENSG00000139515,ENSG00000147883,ENSG00000156127,ENSG00000159216,ENSG00000163623,ENSG00000164107,ENSG00000164362,ENSG00000164920,ENSG00000165462,ENSG00000167711,ENSG00000168505,ENSG00000170689,ENSG00000175832,ENSG00000176692,ENSG00000179348,ENSG00000181965,ENSG00000184058,ENSG00000184302,ENSG00000185499,ENSG00000185668,ENSG00000196092,ENSG00000253293"
"207","red",1,TRUE,0.000148,609,385,45,0.117,0.074,"GO:0048534","BP",8,"hematopoietic or lymphoid organ development",1,"ENSG00000007312,ENSG00000020633,ENSG00000028277,ENSG00000049768,ENSG00000070404,ENSG00000078399,ENSG00000092067,ENSG00000096996,ENSG00000100867,ENSG00000105997,ENSG00000108342,ENSG00000110944,ENSG00000112077,ENSG00000115085,ENSG00000120093,ENSG00000122592,ENSG00000126778,ENSG00000130427,ENSG00000131668,ENSG00000131759,ENSG00000131808,ENSG00000147883,ENSG00000156127,ENSG00000159216,ENSG00000159640,ENSG00000160683,ENSG00000164107,ENSG00000167656,ENSG00000169071,ENSG00000174807,ENSG00000175505,ENSG00000177047,ENSG00000178919,ENSG00000179348,ENSG00000180549,ENSG00000184058,ENSG00000196415,ENSG00000198400,ENSG00000204252,ENSG00000204305,ENSG00000204420,ENSG00000204577,ENSG00000226979,ENSG00000227507,ENSG00000240505"
"2210","red",1,TRUE,0.000392,150,385,18,0.047,0.12,"GO:0007601","BP",21,"visual perception",1,"ENSG00000100053,ENSG00000100987,ENSG00000102076,ENSG00000105392,ENSG00000112041,ENSG00000116035,ENSG00000120057,ENSG00000121634,ENSG00000121743,ENSG00000129221,ENSG00000139219,ENSG00000140859,ENSG00000163254,ENSG00000168875,ENSG00000184292,ENSG00000184302,ENSG00000185974,ENSG00000188937"
"330","red",1,TRUE,0.000685,113,385,15,0.039,0.133,"GO:0035270","BP",19,"endocrine system development",1,"ENSG00000069011,ENSG00000070404,ENSG00000105997,ENSG00000107831,ENSG00000111087,ENSG00000120093,ENSG00000126778,ENSG00000130675,ENSG00000136352,ENSG00000136931,ENSG00000139515,ENSG00000163623,ENSG00000178919,ENSG00000179348,ENSG00000184058"
"627","red",1,TRUE,0.0012,1201,385,70,0.182,0.058,"GO:0042127","BP",24,"regulation of cell proliferation",1,"ENSG00000013725,ENSG00000020633,ENSG00000049768,ENSG00000078900,ENSG00000089116,ENSG00000090447,ENSG00000090776,ENSG00000092295,ENSG00000096996,ENSG00000100351,ENSG00000100867,ENSG00000101076,ENSG00000101412,ENSG00000103067,ENSG00000104918,ENSG00000105550,ENSG00000105997,ENSG00000107831,ENSG00000107859,ENSG00000108342,ENSG00000108602,ENSG00000110944,ENSG00000111087,ENSG00000111424,ENSG00000115085,ENSG00000117560,ENSG00000120057,ENSG00000120949,ENSG00000122180,ENSG00000126233,ENSG00000126778,ENSG00000126895,ENSG00000128714,ENSG00000130427,ENSG00000130529,ENSG00000131759,ENSG00000131808,ENSG00000131914,ENSG00000136573,ENSG00000137731,ENSG00000138136,ENSG00000139515,ENSG00000147883,ENSG00000150281,ENSG00000159640,ENSG00000164107,ENSG00000164362,ENSG00000164920,ENSG00000165556,ENSG00000167711,ENSG00000169071,ENSG00000169194,ENSG00000169418,ENSG00000170476,ENSG00000170498,ENSG00000172016,ENSG00000173535,ENSG00000174807,ENSG00000175505,ENSG00000179348,ENSG00000184058,ENSG00000184292,ENSG00000186895,ENSG00000196415,ENSG00000197561,ENSG00000198400,ENSG00000204305,ENSG00000226979,ENSG00000240505,ENSG00000267534"
"2113","red",1,TRUE,0.00155,1165,385,68,0.177,0.058,"GO:0045595","BP",22,"regulation of cell differentiation",1,"ENSG00000006327,ENSG00000020633,ENSG00000049768,ENSG00000061273,ENSG00000062524,ENSG00000070404,ENSG00000077009,ENSG00000078399,ENSG00000078900,ENSG00000096996,ENSG00000099953,ENSG00000100968,ENSG00000101412,ENSG00000102970,ENSG00000104901,ENSG00000104953,ENSG00000105392,ENSG00000107831,ENSG00000107859,ENSG00000108342,ENSG00000110944,ENSG00000111087,ENSG00000111199,ENSG00000111424,ENSG00000115085,ENSG00000115297,ENSG00000115718,ENSG00000118707,ENSG00000120093,ENSG00000120949,ENSG00000122180,ENSG00000122592,ENSG00000126778,ENSG00000129455,ENSG00000129910,ENSG00000130427,ENSG00000130529,ENSG00000131759,ENSG00000131808,ENSG00000131914,ENSG00000134259,ENSG00000136352,ENSG00000136378,ENSG00000138136,ENSG00000159216,ENSG00000163623,ENSG00000164107,ENSG00000164362,ENSG00000165556,ENSG00000167711,ENSG00000168875,ENSG00000169071,ENSG00000169194,ENSG00000171564,ENSG00000172016,ENSG00000175505,ENSG00000179348,ENSG00000181965,ENSG00000184058,ENSG00000184160,ENSG00000184292,ENSG00000188064,ENSG00000198400,ENSG00000204252,ENSG00000204305,ENSG00000204577,ENSG00000226979,ENSG00000267534"
"528","red",1,TRUE,0.00239,37,385,8,0.021,0.216,"GO:0048483","BP",23,"autonomic nervous system development",1,"ENSG00000071677,ENSG00000115297,ENSG00000126778,ENSG00000164107,ENSG00000165462,ENSG00000168505,ENSG00000184058,ENSG00000198400"
"1318","red",1,TRUE,0.0055,31,385,7,0.018,0.226,"GO:0021515","BP",28,"cell differentiation in spinal cord",1,"ENSG00000089116,ENSG00000106038,ENSG00000130675,ENSG00000138136,ENSG00000163623,ENSG00000165462,ENSG00000179348"
"726","red",1,TRUE,0.0069,1153,385,65,0.169,0.056,"GO:0051240","BP",13,"positive regulation of multicellular organismal process",1,"ENSG00000006327,ENSG00000006638,ENSG00000013725,ENSG00000049768,ENSG00000057593,ENSG00000061273,ENSG00000062524,ENSG00000078900,ENSG00000089116,ENSG00000096996,ENSG00000100968,ENSG00000104918,ENSG00000104953,ENSG00000105392,ENSG00000107831,ENSG00000107859,ENSG00000108342,ENSG00000110944,ENSG00000111087,ENSG00000111199,ENSG00000111424,ENSG00000115085,ENSG00000115596,ENSG00000118707,ENSG00000120949,ENSG00000121853,ENSG00000122180,ENSG00000124256,ENSG00000126778,ENSG00000126895,ENSG00000130427,ENSG00000130529,ENSG00000131759,ENSG00000131808,ENSG00000131914,ENSG00000134259,ENSG00000136931,ENSG00000159216,ENSG00000163623,ENSG00000164107,ENSG00000164362,ENSG00000164920,ENSG00000167711,ENSG00000169071,ENSG00000169194,ENSG00000169418,ENSG00000170498,ENSG00000171564,ENSG00000175505,ENSG00000176692,ENSG00000179348,ENSG00000181965,ENSG00000184058,ENSG00000184160,ENSG00000186652,ENSG00000188064,ENSG00000196296,ENSG00000197406,ENSG00000197561,ENSG00000198400,ENSG00000204305,ENSG00000204610,ENSG00000213654,ENSG00000226979,ENSG00000227507"
"307","red",1,TRUE,0.00731,203,385,19,0.049,0.094,"GO:0005126","MF",3,"cytokine receptor binding",1,"ENSG00000096996,ENSG00000102970,ENSG00000108342,ENSG00000108688,ENSG00000110944,ENSG00000117560,ENSG00000125726,ENSG00000130427,ENSG00000134259,ENSG00000137077,ENSG00000150281,ENSG00000158813,ENSG00000169194,ENSG00000175505,ENSG00000177047,ENSG00000189334,ENSG00000198400,ENSG00000226979,ENSG00000227507"
"257","red",1,TRUE,0.00779,546,385,37,0.096,0.068,"GO:0009986","CC",38,"cell surface",1,"ENSG00000005961,ENSG00000006327,ENSG00000007312,ENSG00000064547,ENSG00000073067,ENSG00000096996,ENSG00000103546,ENSG00000106927,ENSG00000107831,ENSG00000110244,ENSG00000111199,ENSG00000112195,ENSG00000115596,ENSG00000117560,ENSG00000120457,ENSG00000121853,ENSG00000126218,ENSG00000128322,ENSG00000130300,ENSG00000130427,ENSG00000131759,ENSG00000136378,ENSG00000139626,ENSG00000144481,ENSG00000159640,ENSG00000160683,ENSG00000163283,ENSG00000167656,ENSG00000167711,ENSG00000169071,ENSG00000169194,ENSG00000171564,ENSG00000181856,ENSG00000186810,ENSG00000197561,ENSG00000198400,ENSG00000240505"
"824","red",1,TRUE,0.00799,1251,385,69,0.179,0.055,"GO:0003008","BP",29,"system process",1,"ENSG00000006638,ENSG00000006788,ENSG00000100053,ENSG00000100987,ENSG00000102076,ENSG00000104918,ENSG00000105392,ENSG00000106436,ENSG00000106631,ENSG00000108556,ENSG00000108823,ENSG00000110244,ENSG00000111199,ENSG00000111319,ENSG00000111424,ENSG00000112041,ENSG00000115138,ENSG00000116035,ENSG00000116329,ENSG00000120057,ENSG00000120457,ENSG00000121634,ENSG00000121743,ENSG00000121853,ENSG00000122180,ENSG00000125878,ENSG00000125879,ENSG00000126233,ENSG00000126778,ENSG00000126895,ENSG00000129221,ENSG00000129455,ENSG00000130427,ENSG00000130529,ENSG00000130595,ENSG00000130598,ENSG00000137731,ENSG00000139219,ENSG00000140859,ENSG00000144481,ENSG00000159173,ENSG00000159640,ENSG00000159961,ENSG00000161270,ENSG00000163254,ENSG00000164107,ENSG00000166126,ENSG00000167711,ENSG00000168875,ENSG00000169418,ENSG00000170498,ENSG00000171564,ENSG00000171956,ENSG00000173991,ENSG00000175084,ENSG00000176692,ENSG00000179142,ENSG00000181965,ENSG00000183853,ENSG00000184058,ENSG00000184160,ENSG00000184292,ENSG00000184302,ENSG00000185974,ENSG00000188037,ENSG00000188937,ENSG00000196296,ENSG00000197901,ENSG00000198400"
"1120","red",1,TRUE,0.0115,791,385,48,0.125,0.061,"GO:0051241","BP",20,"negative regulation of multicellular organismal process",1,"ENSG00000049768,ENSG00000061273,ENSG00000070404,ENSG00000078399,ENSG00000078900,ENSG00000088926,ENSG00000100968,ENSG00000107831,ENSG00000107859,ENSG00000110944,ENSG00000111199,ENSG00000115138,ENSG00000115297,ENSG00000115718,ENSG00000117560,ENSG00000120057,ENSG00000120949,ENSG00000121853,ENSG00000122592,ENSG00000126778,ENSG00000126895,ENSG00000129455,ENSG00000130529,ENSG00000131759,ENSG00000131914,ENSG00000136352,ENSG00000136378,ENSG00000136931,ENSG00000138136,ENSG00000145192,ENSG00000163623,ENSG00000164107,ENSG00000164362,ENSG00000167711,ENSG00000169194,ENSG00000169418,ENSG00000171564,ENSG00000172016,ENSG00000176692,ENSG00000179348,ENSG00000181965,ENSG00000184160,ENSG00000184292,ENSG00000186652,ENSG00000186895,ENSG00000197561,ENSG00000204305,ENSG00000204577"
"187","red",1,TRUE,0.0125,25,385,6,0.016,0.24,"GO:0021602","BP",17,"cranial nerve morphogenesis",1,"ENSG00000105997,ENSG00000120093,ENSG00000126778,ENSG00000165462,ENSG00000181965,ENSG00000184058"
"337","red",1,TRUE,0.0167,20,385,5,0.013,0.25,"KEGG:04950","keg",34,"Maturity onset diabetes of the young",1,"ENSG00000101076,ENSG00000130675,ENSG00000139515,ENSG00000143627,ENSG00000163623"
"277","red",1,TRUE,0.0175,74,385,10,0.026,0.135,"GO:0005796","CC",10,"Golgi lumen",1,"ENSG00000057593,ENSG00000099953,ENSG00000104826,ENSG00000115596,ENSG00000115718,ENSG00000126218,ENSG00000134259,ENSG00000142798,ENSG00000185499,ENSG00000188064"
"1512","red",1,TRUE,0.0229,204,385,18,0.047,0.088,"GO:0071356","BP",35,"cellular response to tumor necrosis factor",1,"ENSG00000006327,ENSG00000102970,ENSG00000108688,ENSG00000117560,ENSG00000120949,ENSG00000125726,ENSG00000130300,ENSG00000136378,ENSG00000137077,ENSG00000137496,ENSG00000141527,ENSG00000158813,ENSG00000173535,ENSG00000179526,ENSG00000181856,ENSG00000226979,ENSG00000227507,ENSG00000240505"
"177","red",1,TRUE,0.0359,30,385,6,0.016,0.2,"GO:0021517","BP",18,"ventral spinal cord development",1,"ENSG00000106038,ENSG00000130675,ENSG00000138136,ENSG00000163623,ENSG00000165462,ENSG00000179348"
"247","red",1,TRUE,0.0367,111,385,12,0.031,0.108,"GO:0044236","BP",36,"multicellular organism metabolic process",1,"ENSG00000011028,ENSG00000099953,ENSG00000104918,ENSG00000110244,ENSG00000111199,ENSG00000114270,ENSG00000139219,ENSG00000159640,ENSG00000167711,ENSG00000168477,ENSG00000175564,ENSG00000196415"
"267","red",1,TRUE,0.0396,1180,385,63,0.164,0.053,"GO:0031226","CC",15,"intrinsic component of plasma membrane",1,"ENSG00000005001,ENSG00000005961,ENSG00000006638,ENSG00000007312,ENSG00000011028,ENSG00000013725,ENSG00000019169,ENSG00000062524,ENSG00000064547,ENSG00000065618,ENSG00000072182,ENSG00000074276,ENSG00000090776,ENSG00000096996,ENSG00000099834,ENSG00000102076,ENSG00000103546,ENSG00000105281,ENSG00000108556,ENSG00000111199,ENSG00000111319,ENSG00000112077,ENSG00000116329,ENSG00000117560,ENSG00000120457,ENSG00000120949,ENSG00000121634,ENSG00000124493,ENSG00000125726,ENSG00000126218,ENSG00000126460,ENSG00000126895,ENSG00000137204,ENSG00000137731,ENSG00000139626,ENSG00000142484,ENSG00000143105,ENSG00000145217,ENSG00000149418,ENSG00000156453,ENSG00000158488,ENSG00000158813,ENSG00000160683,ENSG00000161270,ENSG00000165125,ENSG00000169071,ENSG00000169418,ENSG00000170128,ENSG00000173535,ENSG00000181856,ENSG00000183840,ENSG00000184160,ENSG00000184292,ENSG00000185499,ENSG00000186810,ENSG00000187714,ENSG00000188037,ENSG00000196411,ENSG00000197901,ENSG00000198400,ENSG00000204305,ENSG00000204577,ENSG00000240505"
"1220","red",1,TRUE,0.0398,12,385,4,0.01,0.333,"GO:0043373","BP",32,"CD4-positive, alpha-beta T cell lineage commitment",1,"ENSG00000049768,ENSG00000096996,ENSG00000110944,ENSG00000156127"
"168","red",1,TRUE,0.0398,12,385,4,0.01,0.333,"GO:0032693","BP",4,"negative regulation of interleukin-10 production",1,"ENSG00000049768,ENSG00000110944,ENSG00000186652,ENSG00000204305"
"429","red",1,TRUE,0.0432,31,385,6,0.016,0.194,"GO:0016486","BP",6,"peptide hormone processing",1,"ENSG00000104826,ENSG00000104827,ENSG00000115138,ENSG00000131808,ENSG00000134259,ENSG00000159640"
"197","red",1,TRUE,0.0451,21,385,5,0.013,0.238,"GO:0048665","BP",25,"neuron fate specification",1,"ENSG00000106038,ENSG00000126778,ENSG00000130675,ENSG00000138136,ENSG00000163623"
"437","purple",1,TRUE,2.31e-10,304,160,24,0.15,0.079,"GO:0005743","CC",79,"mitochondrial inner membrane",1,"ENSG00000010256,ENSG00000090266,ENSG00000100347,ENSG00000102078,ENSG00000106603,ENSG00000119421,ENSG00000125166,ENSG00000125445,ENSG00000126267,ENSG00000126602,ENSG00000128626,ENSG00000132305,ENSG00000141385,ENSG00000147123,ENSG00000164405,ENSG00000165283,ENSG00000167283,ENSG00000167792,ENSG00000176340,ENSG00000179091,ENSG00000181991,ENSG00000183978,ENSG00000213619,ENSG00000241468"
"357","purple",1,TRUE,3.98e-10,71,160,13,0.081,0.183,"GO:0098800","CC",35,"inner mitochondrial membrane protein complex",1,"ENSG00000010256,ENSG00000090266,ENSG00000119421,ENSG00000132305,ENSG00000141385,ENSG00000147123,ENSG00000164405,ENSG00000167283,ENSG00000167792,ENSG00000176340,ENSG00000179091,ENSG00000213619,ENSG00000241468"
"1023","purple",1,TRUE,2.58e-09,118,160,15,0.094,0.127,"GO:0045333","BP",36,"cellular respiration",1,"ENSG00000010256,ENSG00000067829,ENSG00000090266,ENSG00000101365,ENSG00000102078,ENSG00000119421,ENSG00000126267,ENSG00000126602,ENSG00000147123,ENSG00000151376,ENSG00000164405,ENSG00000167792,ENSG00000176340,ENSG00000179091,ENSG00000213619"
"258","purple",1,TRUE,3.73e-09,68,160,12,0.075,0.176,"GO:1902600","BP",49,"hydrogen ion transmembrane transport",1,"ENSG00000010256,ENSG00000047249,ENSG00000071553,ENSG00000117410,ENSG00000126267,ENSG00000159720,ENSG00000164405,ENSG00000165283,ENSG00000167283,ENSG00000176340,ENSG00000179091,ENSG00000241468"
"338","purple",1,TRUE,4.36e-08,167,160,16,0.1,0.096,"GO:0046034","BP",12,"ATP metabolic process",1,"ENSG00000010256,ENSG00000067057,ENSG00000090266,ENSG00000111640,ENSG00000119421,ENSG00000126267,ENSG00000147123,ENSG00000149925,ENSG00000164405,ENSG00000165283,ENSG00000167283,ENSG00000167792,ENSG00000176340,ENSG00000179091,ENSG00000213619,ENSG00000241468"
"665","purple",1,TRUE,4.97e-08,80,160,16,0.1,0.2,"KEGG:00190","keg",40,"Oxidative phosphorylation",1,"ENSG00000010256,ENSG00000047249,ENSG00000071553,ENSG00000090266,ENSG00000117410,ENSG00000119421,ENSG00000126267,ENSG00000147123,ENSG00000159720,ENSG00000164405,ENSG00000167283,ENSG00000167792,ENSG00000176340,ENSG00000179091,ENSG00000213619,ENSG00000241468"
"467","purple",1,TRUE,1.77e-07,44,160,9,0.056,0.205,"GO:0098803","CC",83,"respiratory chain complex",1,"ENSG00000010256,ENSG00000090266,ENSG00000119421,ENSG00000147123,ENSG00000164405,ENSG00000167792,ENSG00000176340,ENSG00000179091,ENSG00000213619"
"230","purple",1,TRUE,3.12e-06,44,160,8,0.05,0.182,"GO:0033108","BP",57,"mitochondrial respiratory chain complex assembly",1,"ENSG00000090266,ENSG00000100347,ENSG00000106603,ENSG00000119421,ENSG00000147123,ENSG00000167792,ENSG00000183978,ENSG00000213619"
"536","purple",1,TRUE,6.03e-06,33,160,7,0.044,0.212,"GO:0016876","MF",34,"ligase activity, forming aminoacyl-tRNA and related compounds",1,"ENSG00000031698,ENSG00000090861,ENSG00000106105,ENSG00000108825,ENSG00000130764,ENSG00000140105,ENSG00000179115"
"6112","purple",1,TRUE,6.13e-06,65,160,9,0.056,0.138,"GO:0015078","MF",54,"hydrogen ion transmembrane transporter activity",1,"ENSG00000010256,ENSG00000047249,ENSG00000071553,ENSG00000117410,ENSG00000126267,ENSG00000159720,ENSG00000164405,ENSG00000167283,ENSG00000176340"
"477","purple",1,TRUE,8.6e-05,67,160,8,0.05,0.119,"GO:1990204","CC",18,"oxidoreductase complex",1,"ENSG00000010256,ENSG00000090266,ENSG00000119421,ENSG00000147123,ENSG00000164405,ENSG00000167792,ENSG00000179091,ENSG00000213619"
"3210","purple",1,TRUE,0.00016,21,160,5,0.031,0.238,"GO:0042407","BP",51,"cristae formation",1,"ENSG00000100347,ENSG00000132305,ENSG00000141385,ENSG00000167283,ENSG00000241468"
"208","purple",1,TRUE,0.000218,37,160,6,0.037,0.162,"GO:0006418","BP",4,"tRNA aminoacylation for protein translation",1,"ENSG00000031698,ENSG00000090861,ENSG00000106105,ENSG00000108825,ENSG00000140105,ENSG00000179115"
"457","purple",1,TRUE,0.000259,23,160,5,0.031,0.217,"GO:0097526","CC",53,"spliceosomal tri-snRNP complex",1,"ENSG00000125835,ENSG00000128739,ENSG00000130520,ENSG00000141759,ENSG00000171960"
"497","purple",1,TRUE,0.000589,14,160,4,0.025,0.286,"GO:0036442","MF",44,"hydrogen-exporting ATPase activity",1,"ENSG00000047249,ENSG00000071553,ENSG00000117410,ENSG00000159720"
"655","purple",1,TRUE,0.000801,127,160,14,0.087,0.11,"KEGG:05016","keg",84,"Huntington's disease",1,"ENSG00000010256,ENSG00000042753,ENSG00000090266,ENSG00000119421,ENSG00000122705,ENSG00000126267,ENSG00000147123,ENSG00000161203,ENSG00000164405,ENSG00000167792,ENSG00000175203,ENSG00000176340,ENSG00000179091,ENSG00000213619"
"308","purple",1,TRUE,0.00105,16,160,4,0.025,0.25,"GO:0042776","BP",56,"mitochondrial ATP synthesis coupled proton transport",1,"ENSG00000165283,ENSG00000167283,ENSG00000179091,ENSG00000241468"
"1319","purple",1,TRUE,0.00156,127,160,9,0.056,0.071,"GO:0002478","BP",41,"antigen processing and presentation of exogenous peptide antigen",1,"ENSG00000042753,ENSG00000099341,ENSG00000100804,ENSG00000122705,ENSG00000142507,ENSG00000161203,ENSG00000173692,ENSG00000175166,ENSG00000175203"
"675","purple",1,TRUE,0.00167,88,160,11,0.069,0.125,"KEGG:05012","keg",26,"Parkinson's disease",1,"ENSG00000010256,ENSG00000090266,ENSG00000115317,ENSG00000119421,ENSG00000126267,ENSG00000147123,ENSG00000164405,ENSG00000167792,ENSG00000176340,ENSG00000179091,ENSG00000213619"
"298","purple",1,TRUE,0.00172,18,160,4,0.025,0.222,"GO:0015991","BP",6,"ATP hydrolysis coupled proton transport",1,"ENSG00000047249,ENSG00000071553,ENSG00000117410,ENSG00000159720"
"487","purple",1,TRUE,0.00241,8,160,3,0.019,0.375,"GO:0005750","CC",64,"mitochondrial respiratory chain complex III",1,"ENSG00000010256,ENSG00000164405,ENSG00000179091"
